,0
0,0.0
1,0.0
2,0.0
3,0.5
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.5
11,1.0
12,0.0
13,0.0
14,0.5
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,0.5
22,0.5
23,0.0
24,0.0
25,0.5
26,0.0
27,0.0
28,1.0
29,0.0
30,1.0
31,0.0
32,0.0
33,0.0
34,0.5
35,0.5
36,0.5
37,0.0
38,0.0
39,1.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0
52,0.0
53,0.0
54,0.0
55,0.5
56,0.0
57,0.0
58,0.0
59,1.0
60,0.5
61,0.5
62,0.5
63,0.0
64,0.0
65,0.0
66,1.4142135623730951
67,0.0
68,0.0
69,0.0
70,0.5
71,0.5
72,0.0
73,0.0
74,0.0
75,0.0
76,0.5
77,1.0
78,0.0
79,0.5
80,0.0
81,0.0
82,0.0
83,1.0
84,0.5
85,0.0
86,0.0
87,0.5
88,0.0
89,0.0
90,0.0
91,1.0
92,0.0
93,0.0
94,0.0
95,0.0
96,1.0
97,0.0
98,1.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,1.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.5
112,0.5
113,0.0
114,0.0
115,1.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,1.0
123,0.0
124,0.0
125,1.0
126,0.0
127,0.5
128,0.5
129,0.0
130,0.0
131,0.5
132,1.0
133,1.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,1.0
144,0.5
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.5
151,0.5
152,0.0
153,0.0
154,0.0
155,0.5
156,0.5
157,0.0
158,0.0
159,0.0
160,1.0
161,0.0
162,0.0
163,0.0
164,0.0
165,1.0
166,0.0
167,0.0
168,0.0
169,1.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,1.0
177,0.0
178,1.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.5
184,1.0
185,0.0
186,0.5
187,1.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1.0
194,0.0
195,0.5
196,0.0
197,0.0
198,1.0
199,1.0
200,1.0
201,0.0
202,0.5
203,1.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,1.0
212,0.0
213,0.0
214,0.5
215,0.0
216,1.0
217,0.0
218,1.0
219,1.0
220,0.0
221,0.0
222,1.0
223,0.0
224,0.0
225,0.0
226,1.0
227,0.0
228,0.0
229,0.5
230,1.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,0.0
239,0.0
240,0.0
241,0.0
242,1.0
243,0.0
244,0.0
245,0.0
246,0.5
247,0.5
248,0.0
249,0.0
250,0.5
251,0.0
252,0.0
253,0.0
254,0.5
255,0.0
256,0.0
257,0.5
258,0.5
259,1.0
260,0.0
261,1.0
262,0.0
263,1.0
264,0.0
265,0.5
266,1.0
267,0.5
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.5
275,0.0
276,0.0
277,0.5
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.5
288,0.5
289,0.5
290,0.0
291,0.5
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.5
303,0.0
304,0.0
305,1.0
306,0.0
307,0.0
308,0.0
309,0.5
310,0.5
311,0.0
312,0.0
313,1.0
314,0.0
315,0.0
316,0.0
317,0.0
318,1.0
319,0.0
320,1.0
321,0.0
322,0.0
323,0.0
324,0.5
325,0.0
326,0.0
327,0.0
328,1.0
329,0.0
330,0.0
331,1.0
332,1.0
333,0.0
334,1.0
335,1.0
336,0.0
337,0.0
338,1.0
339,0.0
340,0.5
341,0.0
342,0.0
343,0.0
344,1.0
345,0.0
346,1.0
347,0.0
348,0.0
349,1.118033988749895
350,0.0
351,0.0
352,0.0
353,0.0
354,1.0
355,0.0
356,0.0
357,0.5
358,0.5
359,0.0
360,0.0
361,1.0
362,0.0
363,0.0
364,0.0
365,0.5
366,0.0
367,0.0
368,0.0
369,0.0
370,1.0
371,0.0
372,0.0
373,0.5
374,0.0
375,0.0
376,1.4142135623730951
377,0.0
378,0.0
379,0.5
380,1.0
381,0.0
382,1.0
383,0.0
384,1.0
385,0.0
386,0.0
387,0.5
388,0.0
389,1.0
390,1.0
391,0.0
392,0.5
393,0.0
394,0.0
395,0.0
396,1.118033988749895
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.5
405,0.0
406,1.0
407,0.0
408,0.5
409,1.0
410,1.0
411,1.0
412,0.0
413,1.0
414,0.0
415,0.0
416,0.0
417,0.0
418,1.0
419,0.0
420,0.0
421,0.0
422,0.5
423,0.0
424,0.0
425,0.0
426,1.4142135623730951
427,0.0
428,0.0
429,1.0
430,0.0
431,0.0
432,1.0
433,0.0
434,0.0
435,0.0
436,1.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,1.0
443,0.0
444,0.0
445,0.0
446,0.0
447,1.0
448,1.0
449,0.0
450,0.0
451,1.0
452,0.0
453,1.118033988749895
454,0.0
455,0.5
456,0.0
457,0.0
458,0.5
459,0.0
460,0.0
461,0.0
462,0.5
463,0.0
464,1.0
465,0.0
466,0.0
467,0.0
468,0.5
469,0.5
470,0.0
471,0.0
472,0.0
473,1.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,1.0
490,0.0
491,0.0
492,1.0
493,1.0
494,1.0
495,0.0
496,0.5
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.5
503,1.118033988749895
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,1.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,1.0
516,1.4142135623730951
517,0.0
518,1.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.5
535,0.0
536,0.0
537,0.0
538,0.0
539,0.5
540,0.0
541,0.5
542,0.0
543,0.0
544,0.5
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,1.0
553,0.0
554,0.0
555,0.0
556,1.118033988749895
557,0.0
558,0.0
559,0.5
560,0.0
561,1.0
562,0.0
563,0.0
564,0.0
565,0.5
