,0
0,1.4142135623730951
1,1.0
2,1.0
3,1.0
4,1.0
5,1.4142135623730951
6,0.5
7,1.0
8,0.5
9,1.0
10,0.5
11,1.0
12,0.0
13,1.0
14,0.0
15,0.5
16,1.5
17,1.0
18,0.5
19,0.0
20,0.0
21,1.0
22,1.0
23,1.0
24,1.118033988749895
25,1.0
26,0.0
27,1.118033988749895
28,0.5
29,1.4142135623730951
30,1.0
31,0.0
32,0.5
33,1.0
34,1.0
35,0.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.4142135623730951
41,0.5
42,0.0
43,0.5
44,1.0
45,0.5
46,1.118033988749895
47,1.118033988749895
48,0.0
49,1.0
50,1.0
51,1.4142135623730951
52,1.0
53,0.5
54,1.0
55,0.5
56,1.0
57,1.0
58,0.0
59,1.0
60,1.118033988749895
61,0.5
62,0.5
63,0.5
64,1.0
65,1.4142135623730951
66,1.0
67,1.0
68,1.118033988749895
69,0.0
70,0.0
71,0.0
72,1.0
73,0.5
74,0.0
75,0.5
76,0.0
77,1.0
78,0.0
79,1.0
80,0.0
81,1.0
82,1.0
83,1.118033988749895
84,0.0
85,0.0
86,0.0
87,0.5
88,0.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.118033988749895
95,0.5
96,0.0
97,1.0
98,1.0
99,1.0
100,1.0
101,0.5
102,0.0
103,0.5
104,1.0
105,0.0
106,0.5
107,1.0
108,0.0
109,1.118033988749895
110,1.4142135623730951
111,1.0
112,1.118033988749895
113,1.0
114,1.4142135623730951
115,1.0
116,1.4142135623730951
117,1.0
118,0.5
119,0.5
120,1.0
121,0.0
122,0.5
123,1.7320508075688772
124,1.0
125,0.0
126,1.0
127,1.0
128,0.5
129,1.0
130,1.0
131,0.0
132,1.0
133,0.0
134,1.0
135,0.5
136,0.0
137,1.0
138,0.0
139,0.0
140,1.0
141,1.0
142,1.4142135623730951
143,0.5
144,1.0
145,0.0
146,0.0
147,0.0
148,1.118033988749895
149,0.0
150,1.4142135623730951
151,0.5
152,1.0
153,0.5
154,1.0
155,0.0
156,1.0
157,1.0
158,1.0
159,0.5
160,0.0
161,0.0
162,0.0
163,0.0
164,1.0
165,1.0
166,0.5
167,1.4142135623730951
168,1.0
169,0.0
170,0.0
171,1.0
172,0.5
173,0.5
174,0.0
175,0.0
176,0.5
177,0.5
178,1.118033988749895
179,1.0
180,1.118033988749895
181,0.0
182,0.5
183,1.0
184,1.0
185,0.0
186,1.118033988749895
187,1.0
188,0.5
189,0.0
190,0.5
191,0.0
192,0.5
193,0.0
194,0.5
195,1.0
196,0.5
197,1.118033988749895
198,1.0
199,0.5
